,Forecast
2010-10-11,0.7205897553089395
2010-10-12,0.7203533375686499
2010-10-13,0.7201169198283602
2010-10-14,0.7198805020880705
2010-10-15,0.7196440843477809
2010-10-16,0.7194076666074912
2010-10-17,0.7191712488672015
2010-10-18,0.7189348311269119
2010-10-19,0.7186984133866222
2010-10-20,0.7184619956463325
2010-10-21,0.7182255779060429
2010-10-22,0.7179891601657532
2010-10-23,0.7177527424254635
2010-10-24,0.7175163246851739
2010-10-25,0.7172799069448842
2010-10-26,0.7170434892045945
2010-10-27,0.7168070714643049
2010-10-28,0.7165706537240152
2010-10-29,0.7163342359837255
2010-10-30,0.7160978182434359
2010-10-31,0.7158614005031462
2010-11-01,0.7156249827628565
2010-11-02,0.7153885650225669
2010-11-03,0.7151521472822772
2010-11-04,0.7149157295419875
2010-11-05,0.7146793118016979
2010-11-06,0.7144428940614082
2010-11-07,0.7142064763211184
2010-11-08,0.7139700585808288
2010-11-09,0.7137336408405391
