,Forecast
2010-10-11,0.7208264216975147
2010-10-12,0.7208262413653646
2010-10-13,0.7208262642392066
2010-10-14,0.7208262613378236
2010-10-15,0.7208262617058432
2010-10-16,0.7208262616591625
2010-10-17,0.7208262616650837
2010-10-18,0.7208262616643326
2010-10-19,0.7208262616644279
2010-10-20,0.7208262616644158
2010-10-21,0.7208262616644173
2010-10-22,0.7208262616644171
2010-10-23,0.7208262616644171
2010-10-24,0.7208262616644171
2010-10-25,0.7208262616644171
2010-10-26,0.7208262616644171
2010-10-27,0.7208262616644171
2010-10-28,0.7208262616644171
2010-10-29,0.7208262616644171
2010-10-30,0.7208262616644171
2010-10-31,0.7208262616644171
2010-11-01,0.7208262616644171
2010-11-02,0.7208262616644171
2010-11-03,0.7208262616644171
2010-11-04,0.7208262616644171
2010-11-05,0.7208262616644171
2010-11-06,0.7208262616644171
2010-11-07,0.7208262616644171
2010-11-08,0.7208262616644171
2010-11-09,0.7208262616644171
